product_id,product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,seller,stock,sold_quantity,profit_margin_pct,is_organic,packaging_type,weight_g,shelf_life_days,reorder_level,demand_index,date_added,expiry_date,offer_type,delivery_status,Revenue,Profit_Amount
1,Tata Organic Grocery 300,Grocery,Tata,199.78,25,149.84,4.5,146,37,Bengaluru,UrbanSeller,76,241,29.8,TRUE,Can,750,212,15,73,11/27/2023,6/26/2024,None,On-Time,36111.44,10761.20912
2,Mother Dairy Lite Dairy 275,Dairy,Mother Dairy,44.32,30,31.02,4.0,264,36,Jaipur,QuickStores,122,28,15.2,FALSE,Jar,1000,17,24,25,8/7/2024,8/24/2024,None,Delayed,868.56,132.02112
3,P&G Classic Personal 439,Personal Care,P&G,501.13,0,501.13,3.7,69,17,Chennai,QuickStores,126,583,6.6,TRUE,Jar,1000,1463,25,100,3/3/2024,3/5/2028,FreeDelivery,On-Time,292158.79,19282.480139999996
4,Dettol Fresh Household 771,Household,Dettol,627.17,0,627.17,3.9,103,23,Delhi,UrbanSeller,92,33,36.8,TRUE,Bottle,200,1143,18,15,8/7/2024,9/24/2027,None,On-Time,20696.609999999997,7616.352479999998
5,Minute Maid Daily Beverages 264,Beverages,Minute Maid,101.69,15,86.44,4.3,422,10,Pune,UrbanSeller,152,48,14.5,TRUE,Can,300,363,30,6,7/4/2024,7/2/2025,None,On-Time,4149.12,601.6224
6,Britannia Premium Snacks 284,Snacks,Britannia,250.33,5,237.81,4.4,451,14,Delhi,QuickStores,114,287,30.5,FALSE,Can,500,168,22,80,8/29/2025,2/13/2026,None,On-Time,68251.47,20816.69835
7,Britannia Organic Bakery 192,Bakery,Britannia,390.21,0,390.21,3.8,212,33,Lucknow,LocalMart,99,44,16.4,FALSE,Can,750,7,19,12,6/8/2024,6/15/2024,FreeDelivery,On-Time,17169.239999999998,2815.7553599999997
8,Britannia Premium Bakery 931,Bakery,Britannia,370.21,10,333.19,4.2,37,34,Bengaluru,UrbanSeller,96,94,22.3,FALSE,Can,200,8,19,34,11/21/2024,11/29/2024,FlatDiscount,On-Time,31319.86,6984.32878
9,Surf Excel Classic Household 748,Household,Surf Excel,546.6,5,519.27,4.2,165,20,Pune,UrbanSeller,101,119,31.4,FALSE,Bottle,1000,371,20,20,7/23/2024,7/29/2025,FreeDelivery,On-Time,61793.13,19403.04282
10,Aashirvaad Fresh Grocery 206,Grocery,Aashirvaad,129.82,0,129.82,3.8,410,24,Bengaluru,LocalMart,138,57,11.5,TRUE,Can,500,680,27,22,11/16/2023,9/26/2025,None,On-Time,7399.74,850.9701
11,Harpic Premium Household 296,Household,Harpic,897.93,10,808.14,3.8,164,28,Mumbai,SellerA,124,198,12.8,TRUE,Can,250,627,24,51,9/2/2025,5/22/2027,None,On-Time,160011.72,20481.50016
12,Lizol Fresh Household 602,Household,Lizol,163.87,5,155.68,4.1,247,29,Kolkata,UrbanSeller,104,197,15.5,FALSE,Packet,1000,612,20,33,7/7/2024,3/11/2026,None,On-Time,30668.960000000003,4753.688800000001
13,ITC Premium Snacks 122,Snacks,ITC,92.6,0,92.6,4.2,385,39,Delhi,SellerB,78,32,22.1,FALSE,Pouch,300,202,15,14,9/12/2025,4/2/2026,None,On-Time,2963.2,654.8672
14,Britannia Family Pack Bakery 876,Bakery,Britannia,493.11,0,493.11,4.8,124,31,Kolkata,SellerA,92,410,23.8,FALSE,Packet,750,9,18,100,12/22/2023,12/31/2023,FlatDiscount,Delayed,202175.1,48117.6738
15,Tata Lite Grocery 795,Grocery,Tata,63.34,20,50.67,3.7,196,26,Mumbai,SellerB,94,201,12.9,FALSE,Bottle,750,367,18,43,8/8/2024,8/10/2025,None,Delayed,10184.67,1313.8224300000002
